include,done,id,class,species,species by,species syn,species syn by,species alt,new name,TCM,historic,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,Taste/Smell,Heat,Major uses,Culinary,Medicinal,pharmaceutical,Pharma en,TCM2,ECMM,Hu zh,Hu en,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Column1,Indonesian,Malay,Persian,Column2
in,,saffron,spice,Crocus sativus,L.,,,,,,,https://powo.science.kew.org/taxon/436688-1,,http://www.theplantlist.org/tpl1.1/record/kew-327454,,,,,,82528,Iridaceae,saffron,,,,stigma (style),Greece,,39.0,22.0,van_wyk_culinary_2017,Med.; W. Asia,Greece,Greece,1,"Czechoslovakia, Iran, Italy, Morocco, Pakistan, Spain, Turkey, West Himalaya",8,9.0,8.0,Iran; Spain; Kashmir; etc.,deep red; dyes in orange,"pungent, bitter",0,"bouillabaise, rice; fevers","paella, bouillabaisse, tagine",,Stigmata Croci; Stylus Croci,Saffron,西紅花,1676,藏紅花,Saffron,II 164,,,,"Wyk: Med; W As, ..... Greece or Asia Minor",https://www.britannica.com/topic/saffron,saffron,,saffron crocus,番红花,,番红花,,藏紅花,zànghónghuā,Tibetan-red-flower,,زعفران,zaʿfarān,,,sáfrány,,,,केसर,kesar,"hair, mane",कुंकुम; जाफरान; सैफ्रन,,kuma-kuma; safron,,,
in,,Sichuan pepper,spice,Zanthoxylum bungeanum,Maxim.,,,Z. armatum; et al.,,,,https://powo.science.kew.org/taxon/775625-1,,http://www.theplantlist.org/tpl1.1/record/kew-2469335,,,,,,328401,Rutaceae,Chinese pepper,,,,pericarp,China,,35.0,105.0,van_wyk_culinary_2033,Asia,China,"China North-Central, China South-Central, China Southeast, East Himalaya, Inner Mongolia, Manchuria, Nepal, Qinghai, Tibet, Xinjiang",10,Uzbekistan,1,11.0,0.1,China,red; green,"woodsy, peppery",3,meats; colic,,,Pericarpium/Fructus Zanthoxyli,Pricklyash Peel,花椒,528,花椒 (...),,,mention,,fagara,"Wyk at Z. piperitum, en and zh wiki, Flora of china http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=135262",https://www.britannica.com/topic/Sichuan-pepper,Sichuan pepper,,,花椒,,花椒,,花椒,huā​jiāo,flower-pepper,,فلفل سيتشوان,fulful sītshuwān,Sichuan pepper,,szecsuáni bors,Sichuan pepper,,,,,,,,,,,
in,,star anise,spice,Illicium verum,Hook.f.,,,,,,,https://powo.science.kew.org/taxon/554553-1,https://www.ipni.org/n/554553-1,http://www.theplantlist.org/tpl1.1/record/kew-2861915,https://www.gbif.org/species/2889756,https://www.tropicos.org/name/50079582,https://eol.org/pages/484056,http://www.worldfloraonline.org/taxon/wfo-0000730107,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/124778/,124778,Schisandraceae,star anise; Chinese star anise; Chinese anise,,,,pericarp,SE. China; Vietnam,,18.0,106.0,van_wyk_culinary_2023,Asia,South China; Vietnam,"China Southeast, Vietnam",2,"Cambodia, China South-Central",2,4.0,1.0,"China, Laos, Vietnam, Korea, Japan, Taiwan, Hainan, Philippines (POWO)",orange brown,"bitter, licorice-like",3,"meats, desserts; colic",,,Fructus Anisi stellati,Chinese Star Anise,八角茴香,,,,NA (II 117),,,,,https://www.britannica.com/plant/star-anise,star anise,,,八角,,八角,,八角,bājiǎo,octagon,,يانسون نجمي,yānsūn najmī,star anise,,csillagánizs,star-anise,,,चक्रफूल,,,,,bunga lawang,,,
in,,turmeric,spice,Curcuma longa,L.,C. domestica,Valeton,,,,,https://powo.science.kew.org/taxon/796451-1,,http://www.theplantlist.org/tpl1.1/record/kew-235249,,,,,,136217,Zingiberaceae,turmeric,,,,rhizome,India,,12.0,79.0,van_wyk_culinary_2019,Asia,India,India,1,"Andaman Is., Assam, Bangladesh, Belize, Borneo, Cambodia, Caroline Is., China South-Central, China Southeast, Comoros, Congo, Cook Is., Costa Rica, Cuba, Dominican Republic, East Himalaya, Easter Is., Fiji, Gilbert Is., Guinea-Bissau, Gulf of Guinea Is., Haiti, Hawaii, Ivory Coast, Jawa, Leeward Is., Lesser Sunda Is., Malaya, Marquesas, Mauritius, Myanmar, New Caledonia, New Guinea, Nicobar Is., Philippines, Pitcairn Is., Puerto Rico, Queensland, Réunion, Samoa, Society Is., Solomon Is., Sri Lanka, Sumatera, Taiwan, Thailand, Tibet, Tonga, Trinidad-Tobago, Tuamotu, Tubuai Is., Vietnam, Windward Is.",53,54.0,53.0,"China, Honduras, India, Indonesia, Jamaica",orange-yellow,"warm, acrid, bitter",3,"curries, dye; antiseptic",,,Rhizoma Curcumae (Longae),Turmeric,薑黃,,,,II 178,,,,,https://www.britannica.com/plant/turmeric,turmeric,,,姜黄,,姜黄,,薑黃,jiānghuáng,ginger-yellow,黃薑 \textit{huángjiāng} [yellow-ginger],كركم,kurkum,,,kurkuma,,,,,,,,,,,,
in,,vanilla,spice; flavoring,Vanilla planifolia,Jacks. ex Andrews,V. fragrans,Ames,\taxonn{V. tahitensis}{J.W. Moore}; \taxonn{V. pompona}{Schiede},,,,https://powo.science.kew.org/taxon/262578-2,https://ipni.org/n/262578-2,http://www.theplantlist.org/tpl1.1/record/kew-211955,https://www.gbif.org/species/2803398,https://www.tropicos.org/name/23501046,https://eol.org/pages/1127948,http://www.worldfloraonline.org/taxon/wfo-0000331533,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=51239,51239,Orchidaceae,vanilla; Bourbon vanilla; Mexican vanilla,,,,fruit,Tropical America,,-10.0,-55.0,van_wyk_culinary_2032,Americas,Central and South America,"Belize, Brazil North, Brazil Northeast, Brazil Southeast, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico Gulf, Mexico Southeast, Mexico Southwest, Nicaragua, Panamá",14,"Bangladesh, Brazil West-Central, Caroline Is., Cayman Is., Chagos Archipelago, Comoros, Cook Is., Dominican Republic, Ecuador, Florida, French Guiana, Gulf of Guinea Is., Guyana, Jamaica, Jawa, Leeward Is., Lesser Sunda Is., Madagascar, Malaya, Marianas, Marquesas, New Caledonia, New Guinea, Niue, Paraguay, Peru, Puerto Rico, Réunion, Seychelles, Society Is., Suriname, Tonga, Trinidad-Tobago, Tuamotu, Venezuela, Windward Is., Zaïre",37,51.0,2.642857142857143,Madagascar; Indonesia; Mexico; Papua New Guinea; China,dark brown pod; creamy white extract,"fragrant, sweet, delicious",1,flavouring; baking; desserts; perfumery; aromatherapy,,,Fructus Vanillae,,,,,,II 114,,,,second most expensive after saffron!; 1520s Hernán Cortés,https://www.britannica.com/plant/vanilla,vanilla,,flat-leaved vanilla,香草,,香草,,香草,xiāngcǎo,fragrant-herb,Cantonese: 雲呢拿 \textit{wan4 nei1 laa4-2},فانيليا,fānīliyā,,,vanília,,,,वैनिला,vainilaa,,,,vanila,,وانیل,
link,,zzz links 1,,,,,,,,,,,,,,,,,,https://phylot.biobyte.de/,,,,,,,,,,,,,,,,,,,,should check in FAOSTAT,,https://unitproj.library.ucla.edu/biomed/spice/index.cfm?spicefilename=taste.txt&itemsuppress=yes&displayswitch=0,,,,,,,https://herbaltcm.sn.polyu.edu.hk/,,,,http://www.pharmakobotanik.eu/allgemei/koehler/koeh-eng.htm,,,,,,,,,,,http://www.efloras.org/flora_page.aspx?flora_id=3,,,,,,,https://referenceworks.brillonline.com/pages/help/transliteration-islam,,,,,,,,,,,,,,,
link,,zzz links 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://libproject.hkbu.edu.hk/was40/detail?lang=ch&channelid=1288&searchword=herb_id=D00428,,,,http://www1.biologie.uni-hamburg.de/b-online/koehler/koeh-eng.htm,,,,,,,,,,,,,,http://www.efloras.org/flora_page.aspx?flora_id=2,,,,,,,,,,,,,,,,,,,
link,,zzz links 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sys01.lib.hkbu.edu.hk/cmed/mmid/detail.php?pid=B00156&page=1&sort=name_cht,,,,http://www.biolib.de/koehler2/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
link,,zzz source,,,,,,,,,,,,,,,,,,,,Wyk; Peter; Wiki,,,,,,,,,,,,POWO,POWO,POWO,POWO,,,Peter,,,,,,,GK,,PolyU TCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maybe,,black cardamom,spice,Amomum subulatum,Roxb.,,,,,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:872166-1,,,https://www.gbif.org/species/5301632,,https://eol.org/pages/1126561,,https://www.ncbi.nlm.nih.gov/data-hub/taxonomy/1008370/,,Zingiberaceae,brown cardamom; greater cardamom; Indian cardamom; Nepal cardamom; Indian black cardamom; Bengal cardamom; big cardamom; hill cardamon; winged cardamom; fake cardamom; false cardamom,,kakola local name near Eastern Tibet,,fruit & seed,Nepal to Central China,,,,van_wyk_culinary_2014,,,"Assam, Bangladesh, China South-Central, China Southeast, East Himalaya, India, Myanmar, Nepal, Tibet",9,,1,,0.1111111111111111,Himalayas,dark brown,,,,,,,,,,,,,,326,,ambiguous,,black cardamom,brown cardamom; greater cardamom; Indian cardamom; Nepal cardamom; Indian black cardamom; Bengal cardamom; big cardamom; hill cardamon; winged cardamom; fake cardamom; false cardamom; amomum*,,,,,,香豆蔻,xiāngdòukòu,fragrant-cardamom,嘎哥拉 \textit{gāgēlā},قاقلة,qāqulla,,,fekete kardamom,black cardamom,,,,,,,,,,,
